type,url,date
 Journée mondiale de la vie sauvage,https://www.journee-mondiale.com/371/journee-mondiale-de-la-vie-sauvage.htm,3 mars
 Journée mondiale de prière,https://www.journee-mondiale.com/92/journee-mondiale-de-priere.htm,4 mars
 La journée jaune,https://www.journee-mondiale.com/498/la-journee-jaune.htm,4 mars
 Journée mondiale de l'obésité,https://www.journee-mondiale.com/341/journee-mondiale-de-l-obesite.htm,4 mars
 Journée mondiale de l'ingénierie pour le développement durable,https://www.journee-mondiale.com/672/journee-mondiale-de-l-ingenierie-pour-le-developpement-durable.htm,4 mars
 Journée mondiale de lutte contre l'exploitation sexuelle,https://www.journee-mondiale.com/167/journee-mondiale-de-lutte-contre-l-exploitation-sexuelle.htm,4 mars
 Jour de l'impro,https://www.journee-mondiale.com/429/jour-de-l-impro.htm,5 mars
 Journée Internationale de la radio et de la télévision en faveur des enfants,https://www.journee-mondiale.com/188/journee-internationale-de-la-radio-et-de-la-television-en-faveur-des-enfants.htm,6 mars
 Journée Mondiale du Lymphœdème,https://www.journee-mondiale.com/683/journee-mondiale-du-lymphdeme.htm,6 mars
 Semaine des mathématiques,https://www.journee-mondiale.com/577/semaine-des-mathematiques.htm,7 mars
 Journée internationale des femmes,https://www.journee-mondiale.com/192/journee-internationale-des-femmes.htm,8 mars
 on en profite pour vous dire merci mesdames*,https://www.journee-mondiale.com/635/on-en-profite-pour-vous-dire-merci-mesdames.htm,9 mars
 Journée Mondiale du rein,https://www.journee-mondiale.com/257/journee-mondiale-du-rein.htm,10 mars
 Journée nationale de l'audition,https://www.journee-mondiale.com/29/journee-nationale-de-l-audition.htm,10 mars
 Journée mondiale de la plomberie,https://www.journee-mondiale.com/546/journee-mondiale-de-la-plomberie.htm,11 mars
 La journée mondiale du pyjama,https://www.journee-mondiale.com/691/la-journee-mondiale-du-pyjama.htm,11 mars
 Journée internationale des startups,https://www.journee-mondiale.com/507/journee-internationale-des-startups.htm,11 mars
 Journée mondiale contre la censure sur internet,https://www.journee-mondiale.com/219/journee-mondiale-contre-la-censure-sur-internet.htm,12 mars
 Semaine nationale de lutte contre le cancer,https://www.journee-mondiale.com/62/semaine-nationale-de-lutte-contre-le-cancer.htm,14 mars
 Semaine internationale de la courtoisie au volant,https://www.journee-mondiale.com/140/semaine-internationale-de-la-courtoisie-au-volant.htm,14 mars
 Journée internationale d'action pour les rivières,https://www.journee-mondiale.com/447/journee-internationale-d-action-pour-les-rivieres.htm,14 mars
 Journée mondiale du Pi et Journée internationale des mathématiques,https://www.journee-mondiale.com/375/journee-mondiale-du-pi-et-journee-internationale-des-mathematiques.htm,14 mars
 Journée mondiale du travail social,https://www.journee-mondiale.com/428/journee-mondiale-du-travail-social.htm,15 mars
 Journée Internationale des droits des consommateurs,https://www.journee-mondiale.com/51/journee-internationale-des-droits-des-consommateurs.htm,15 mars
 Journée mondiale du recyclage,https://www.journee-mondiale.com/310/journee-mondiale-du-recyclage.htm,18 mars
 Journée nationale du sommeil,https://www.journee-mondiale.com/79/journee-nationale-du-sommeil.htm,18 mars
 Cyber World Clean'Up day,https://www.journee-mondiale.com/636/cyber-world-clean-up-day.htm,19 mars
 Journée mondiale de la Schizophrénie,https://www.journee-mondiale.com/506/journee-mondiale-de-la-schizophrenie.htm,19 mars
 Journée international du canari,https://www.journee-mondiale.com/604/journee-international-du-canari.htm,19 mars
 Journée Mondiale de la santé bucco-dentaire,https://www.journee-mondiale.com/83/journee-mondiale-de-la-sante-bucco-dentaire.htm,20 mars
 Journée  Mondiale du Conte,https://www.journee-mondiale.com/95/journee--mondiale-du-conte.htm,20 mars
 Journée(s) internationale(s) du livre voyageur,https://www.journee-mondiale.com/425/journees-internationales-du-livre-voyageur.htm,20 mars
 Journée internationale sans viande,https://www.journee-mondiale.com/205/journee-internationale-sans-viande.htm,20 mars
 Journée mondiale du bonheur,https://www.journee-mondiale.com/306/journee-mondiale-du-bonheur.htm,20 mars
 Journée internationale de lutte contre les violences policières,https://www.journee-mondiale.com/258/journee-internationale-de-lutte-contre-les-violences-policieres.htm,20 mars
 Journée mondiale du moineau,https://www.journee-mondiale.com/373/journee-mondiale-du-moineau.htm,20 mars
 Semaine internationale pour les alternatives aux pesticides,https://www.journee-mondiale.com/296/semaine-internationale-pour-les-alternatives-aux-pesticides.htm,20 mars
 Journée internationale du macaron,https://www.journee-mondiale.com/399/journee-internationale-du-macaron.htm,20 mars
 Journée Internationale de la francophonie,https://www.journee-mondiale.com/96/journee-internationale-de-la-francophonie.htm,20 mars
 Journée mondiale du rangement de bureaux,https://www.journee-mondiale.com/338/journee-mondiale-du-rangement-de-bureaux.htm,21 mars
 Journée européenne de la musique ancienne,https://www.journee-mondiale.com/327/journee-europeenne-de-la-musique-ancienne.htm,21 mars
